UNIT_ID,SITE_NAME,TripAdvisor,Yelp,Foursquare,Facebook,Wikipedia,Factual id,DISTRICT,PUBLIC_ACC
S00136,Cedar Key Scrub State Reserve,https://www.tripadvisor.com/Attraction_Review-g34126-d7277631-Reviews-Cedar_Key_Scrub_State_Reserve-Cedar_Key_Florida.html,https://www.yelp.com/biz/cedar-key-scrub-state-reserve-cedar-key?osq=Cedar+Key+Scrub+State+Reserve,https://foursquare.com/v/cedar-key-scrub/4f1edff4e4b0b73ef011b247,https://www.facebook.com/pages/Cedar-Key-Scrub-State-Reserve/104021682966192,https://en.wikipedia.org/wiki/Cedar_Key_Scrub_State_Reserve,01b1c453-4ed2-401a-b15c-1481d09e8047,2,Open-No Fee Required
S00029,Charlotte Harbor Preserve State Park,https://www.tripadvisor.com/Attraction_Review-g34583-d12162664-Reviews-Charlotte_Harbor_State_Park-Punta_Gorda_Florida.html,https://www.yelp.com/biz/charlotte-harbor-preserve-state-park-punta-gorda?osq=Charlotte+Harbor+Preserve+State+Park,https://foursquare.com/v/charlotte-harbor-preserve-state-park/527f8ddb498e2cd72e4269b4,https://www.facebook.com/pages/Charlotte-Harbor-Preserve-State-Park/105666172800329,https://en.wikipedia.org/wiki/Charlotte_Harbor_Preserve_State_Park,09f333b5-3e89-431b-a579-b21ef77025d6,4,Open-No Fee Required
S00035,Cockroach Bay Preserve State Park,https://www.tripadvisor.com/Attraction_Review-g34597-d7682668-Reviews-Cockroach_Bay_Aquatic_Preserve-Ruskin_Florida.html,,,https://www.facebook.com/pages/Cockroach-Bay-Aquatic-Preserve/1922446011320562?rf=141979602502518,https://en.wikipedia.org/wiki/Cockroach_Bay_Aquatic_Preserve,4da84c47-2cf7-467f-b36f-7f6ea903478e,4,Open-No Fee Required
S00013,Collier-Seminole State Park,https://www.tripadvisor.com/Attraction_Review-g34467-d126936-Reviews-Collier_Seminole_State_Park-Naples_Florida.html,https://www.yelp.com/biz/collier-seminole-state-park-naples-2,https://foursquare.com/v/collier-seminole-state-park/4d1a44918312236a18a272ba,https://www.facebook.com/FoCSSP/,https://en.wikipedia.org/wiki/Collier-Seminole_State_Park,1b0b1aac-cec9-43d5-bca6-5ab76d8dc820,4,Open-Fee Required
S00273,Colt Creek State Park,https://www.tripadvisor.com/Attraction_Review-g34373-d10337417-Reviews-Colt_Creek_State_Park-Lakeland_Florida.html,https://www.yelp.com/biz/colt-creek-state-park-lakeland,https://foursquare.com/v/colt-creek-state-park/4be6d5ce910020a100a8d414,,https://en.wikipedia.org/wiki/Colt_Creek_State_Park,4ac0927d-939c-4643-9f4b-e6132e799f85,3,Open-No Fee Required
S00014,Constitution Convention Museum State Park,https://www.tripadvisor.com/Attraction_Review-g34578-d2691649-Reviews-Constitutional_Convention_Museum_State_Park-Port_Saint_Joe_Florida.html,https://www.yelp.com/biz/constitution-convention-state-museum-port-st-joe?osq=Constitution+Convention+Museum+State+Park,https://foursquare.com/v/4d852a8af9f3a1cdd536c664,https://www.facebook.com/112387952112076,https://en.wikipedia.org/wiki/Constitution_Convention_Museum_State_Park,00a2828c-514c-4fa6-bd85-1d9293054fa1,1,Open-Fee Required
S00017,Crystal River Archaeological State Park,https://www.tripadvisor.com/Attraction_Review-g34162-d126932-Reviews-Crystal_River_Archaeological_State_Park-Crystal_River_Florida.html,https://www.yelp.com/biz/crystal-river-state-archaeological-site-crystal-river,https://foursquare.com/v/4d603ce8865a224b1cbfa885,https://www.facebook.com/136507036391344,https://en.wikipedia.org/wiki/Crystal_River_Archaeological_State_Park,11387e78-c8c8-4b16-8f4f-af52869a022e,2,Open-Fee Required
S00019,Crystal River Preserve State Park,https://www.tripadvisor.com/Attraction_Review-g34162-d1954192-Reviews-Crystal_River_Preserve_State_Park-Crystal_River_Florida.html,https://www.yelp.com/biz/crystal-river-preserve-state-park-crystal-river?osq=Crystal+River+Preserve+State+Park,https://foursquare.com/v/4dd6783a8877f1150fd0de9f,https://www.facebook.com/105048416279443,https://en.wikipedia.org/wiki/Crystal_River_Preserve_State_Park,74a91100-daab-402e-ad7b-617d954c1e5f,2,Open-No Fee Required
S00228,Curry Hammock State Park,https://www.tripadvisor.com/Attraction_Review-g34347-d552875-Reviews-Curry_Hammock_State_Park-Marathon_Florida_Keys_Florida.html,https://www.yelp.com/biz/curry-hammock-state-park-marathon,https://foursquare.com/v/4ef077b0f790ec12934d8c8a,https://www.facebook.com/109546699072421,https://en.wikipedia.org/wiki/Curry_Hammock_State_Park,b9544f5b-cdc0-4376-a64c-5dd40246c251,5,Open-Fee Required
S00018,Dade Battlefield Historic State Park,https://www.tripadvisor.com/Attraction_Review-g34110-d126933-Reviews-Dade_Battlefield_Historic_State_Park-Bushnell_Florida.html,https://www.yelp.com/biz/dade-battlefield-state-historic-site-bushnell?osq=Dade+Battlefield+Historic+State+Park,https://foursquare.com/v/4b990a8bf964a520785d35e3,https://www.facebook.com/202446680154,https://en.wikipedia.org/wiki/Dade_Battlefield_Historic_State_Park,b199bd29-5039-49ac-b378-874e88b46338,4,Open-Fee Required
S00190,Dagny Johnson Key Largo Hammock Botanical State Park,https://www.tripadvisor.com/Attraction_Review-g34344-d3547152-Reviews-Dagny_Johnson_Key_Largo_Hammock_Botanical_State_Park-Key_Largo_Florida_Keys_Florid.html,https://www.yelp.com/biz/dagny-johnson-key-largo-hammock-botanical-state-park-key-largo?osq=Dagny+Johnson+Key+Largo+Hammock+Botanical+State+Park,https://foursquare.com/v/4cc9a6d3bcb1b1f77c8e108a,https://www.facebook.com/112499085432130,https://en.wikipedia.org/wiki/Dagny_Johnson_Key_Largo_Hammock_Botanical_State_Park,fc174a3d-fc98-4386-b09b-cca0d0664489,5,Open-Fee Required
S00145,De Leon Springs State Park,https://www.tripadvisor.com/Attraction_Review-g34572-d2225554-Reviews-Ponce_de_Leon_Springs_State_Park-Ponce_de_Leon_Florida.html,https://www.yelp.com/biz/ponce-de-leon-springs-state-recreation-area-ponce-de-leon,https://foursquare.com/v/ponce-de-leon-state-park/4c13bc85a9c220a1403e569d,https://www.facebook.com/297304207031223,https://en.wikipedia.org/wiki/Ponce_de_Leon_Springs_State_Park,29c2edf6-431b-472e-b0e5-cebd776cd7cb,3,Open-Fee Required
S00248,Deer Lake State Park,https://www.tripadvisor.com/Attraction_Review-g34617-d6487498-Reviews-Deer_Lake_State_Park-Santa_Rosa_Beach_Florida.html,https://www.yelp.com/biz/deer-lake-state-park-santa-rosa-beach,https://foursquare.com/v/deer-lake/4ec81b8e6da1d1092f5d2147,https://www.facebook.com/pages/Deer-Lake-State-Park/108164862537305,,556d9fef-e547-4202-8236-22a624306a24,1,Open-Fee Required
S00091,Delnor-Wiggins Pass State Park,https://www.tripadvisor.com/Attraction_Review-g34467-d532046-Reviews-Delnor_Wiggins_Pass_State_Park-Naples_Florida.html,https://www.yelp.com/biz/delnor-wiggins-pass-state-park-naples,https://foursquare.com/v/4b5a3580f964a5205ab428e3,https://www.facebook.com/128266310572365,https://en.wikipedia.org/wiki/Delnor-Wiggins_Pass_State_Park,0d1ae139-d722-4809-840a-a473dc39c700,4,Open-Fee Required
S00109,Devil's Millhopper Geological State Park,http://www.tripadvisor.com/Attraction_Review-g34242-d2322700-Reviews-Devil_s_Millhopper_Geological_State_Park-Gainesville_Florida.html,https://www.yelp.com/biz/devils-millhopper-state-geological-site-gainesville?osq=Devil%27s+Millhopper+Geological+State+Park,https://foursquare.com/v/devils-millhopper-geological-state-park/4b76eb32f964a520786a2ee3,https://www.facebook.com/171256996281689,https://en.wikipedia.org/wiki/Devil's_Millhopper_Geological_State_Park,c0bf1696-ae64-4dbe-b4bd-36680e1b8708,2,Open-Fee Required
S00201,Don Pedro Island State Park,https://www.tripadvisor.com/Attraction_Review-g2057132-d6105936-Reviews-Don_Pedro_Island_State_Park-Cape_Haze_Florida.html,https://www.yelp.com/biz/don-pedro-state-park-placida?osq=State+Park,https://foursquare.com/v/don-pedro-state-park/4bfc17c31be376b0d027f8b4,https://www.facebook.com/594772133900485,https://en.wikipedia.org/wiki/Don_Pedro_Island,aaade839-9034-4558-99fa-247ab4a55215,4,Open-Fee Required
S00068,Dr. Julian G. Bruce St. George Island State Park,https://www.tripadvisor.com/Attraction_Review-g34602-d145692-Reviews-Saint_George_Island_State_Park-St_George_Island_Florida.html,https://www.yelp.com/biz/st-george-island-state-park-eastpoint,https://foursquare.com/v/4d84e703d5fab60cdda8eb9b,https://www.facebook.com/122666544527951,https://en.wikipedia.org/wiki/St._George_Island_State_Park,c1b2932e-08e1-4b2f-8b96-d2f37ce8b56b,1,Open-Fee Required
S00107,Dr. Von D. Mizell-Eula Johnson State Park,https://www.tripadvisor.com/Attraction_Review-g34168-d531901-Reviews-Dr_Von_D_Mizell_Eula_Johnson_State_Park-Dania_Beach_Broward_County_Florida.html,https://www.yelp.com/biz/von-d-mizell-and-eula-johnson-state-park-dania,,https://www.facebook.com/pages/Dr-von-D-Mizell-Eula-Johnson-State-Park/1648421998783974,https://en.wikipedia.org/wiki/Dr._Von_D._Mizell-Eula_Johnson_State_Park,7ce00ff6-4e27-4c9f-bd4d-e67015e7d7ae,5,Open-Fee Required
S00189,Dudley Farm Historic State Park,https://www.tripadvisor.com/Attraction_Review-g34472-d270326-Reviews-Dudley_Farm_Historic_State_Park-Newberry_Florida.html,https://www.yelp.com/biz/dudley-farm-historic-state-park-newberry,https://foursquare.com/v/4d823ae846fd6ea878796e02,https://www.facebook.com/115936301809887,https://en.wikipedia.org/wiki/Dudley_Farm_Historic_State_Park,0e381827-3700-4d23-9425-0657328537e5,2,Open-Fee Required
S00264,Dunns Creek State Park,https://www.tripadvisor.com/Attraction_Review-g34570-d3947916-Reviews-Dunns_Creek_State_Park-Pomona_Park_Florida.html,,https://foursquare.com/v/dunns-creek-state-park/4d5a9be1e2df60fcd135d3e5,https://www.facebook.com/620257854721157,https://en.wikipedia.org/wiki/Dunns_Creek_State_Park,34b5a778-05eb-413a-9d2b-391d8e248250,3,Open-No Fee Required
